exp_name,exp_time,train_time,train_time_epoch,val_time_epoch,acc,loss,last_test_time_consumption
0,exp(TestAvgPooling)_gdbls_on_cifar10,"07/21/2022, 17:24:03",1044.062,14.501,8.363,0.9112,0.7289,
1,exp(TestAvgPooling)_gdbls_on_svhn,"07/21/2022, 18:49:05",1501.011,20.284,9.263,0.9683,0.5924,
2,exp(TestAvgPooling)_gdbls_on_cifar10,"07/21/2022, 19:35:52",1405.343,14.488,6.381,0.9203,0.711,
3,exp(TestCBAM)_gdbls_on_cifar10,"07/21/2022, 20:47:23",1169.816,17.203,6.535,0.9133,0.713,
4,exp(TestCBAM)_gdbls_on_cifar100,"07/21/2022, 21:35:47",1369.763,16.704,9.533,0.686,1.8619,
5,exp(TestCBAM)_gdbls_on_svhn,"07/21/2022, 22:33:58",1851.264,24.042,7.943,0.9676,0.5908,
6,exp(TestCBAM)_gdbls_on_cifar10,"07/21/2022, 23:22:42",1446.116,17.216,8.008,0.9101,0.7232,
7,exp(TestCBAM)_gdbls_on_cifar100,"07/22/2022, 00:13:30",1367.883,16.681,11.002,0.685,1.8709,
8,exp(TestCBAM)_gdbls_on_svhn,"07/22/2022, 00:56:54",1298.947,24.055,10.181,0.964,0.604,
9,exp(TestCBAM)_gdbls_on_cifar10,"07/22/2022, 01:37:58",1254.38,17.183,6.815,0.9143,0.716,
10,exp(TestCBAM)_gdbls_on_cifar100,"07/22/2022, 02:16:05",1134.862,16.689,7.423,0.678,1.8845,
11,exp(TestCBAM)_gdbls_on_svhn,"07/22/2022, 02:58:49",1348.363,24.078,8.067,0.9663,0.5925,
12,exp(TestCBAM)_gdbls_on_cifar10,"07/22/2022, 03:37:03",1168.038,17.177,6.985,0.9132,0.7188,
13,exp(TestCBAM)_gdbls_on_cifar100,"07/22/2022, 04:13:33",1068.759,16.699,8.196,0.6668,1.9191,
14,exp(TestCBAM)_gdbls_on_svhn,"07/22/2022, 05:11:22",1927.937,24.099,6.071,0.9672,0.593,
15,exp(TestCBAM)_gdbls_on_cifar10,"07/22/2022, 05:49:36",1168.896,17.19,6.889,0.9185,0.7036,
16,exp(TestCBAM)_gdbls_on_cifar100,"07/22/2022, 06:26:40",1085.767,16.704,8.21,0.6847,1.8788,
17,exp(TestCBAM)_gdbls_on_svhn,"07/22/2022, 07:28:19",2023.829,24.093,6.749,0.9674,0.59,
18,exp(TestCBAM)_gdbls_on_cifar10,"07/22/2022, 08:04:59",1169.359,17.196,5.471,0.9165,0.716,
19,exp(TestCBAM)_gdbls_on_cifar100,"07/22/2022, 08:41:35",1067.408,16.678,8.057,0.6791,1.8838,
20,exp(TestCBAM)_gdbls_on_svhn,"07/22/2022, 09:43:49",2143.455,24.084,4.781,0.9697,0.5898,
21,exp(TestCBAM)_gdbls_on_cifar10,"07/22/2022, 10:27:35",1444.997,17.202,4.519,0.911,0.7212,
22,exp(TestCBAM)_gdbls_on_cifar100,"07/22/2022, 11:09:40",1267.874,16.683,7.25,0.6765,1.8768,
23,exp(TestCBAM)_gdbls_on_svhn,"07/22/2022, 11:46:50",1201.284,24.026,6.91,0.964,0.6043,
24,exp(TestCBAM)_gdbls_on_cifar10,"07/22/2022, 12:33:17",1424.792,17.166,6.868,0.9234,0.6941,
25,exp(TestCBAM)_gdbls_on_cifar100,"07/22/2022, 13:18:51",1334.731,16.684,8.06,0.6785,1.8991,
26,exp(TestCBAM)_gdbls_on_svhn,"07/22/2022, 14:17:20",1875.843,24.049,7.307,0.966,0.5929,
27,exp(TestCBAM)_gdbls_on_cifar10,"07/22/2022, 15:06:25",1527.511,17.163,6.167,0.9152,0.7135,
28,exp(TestCBAM)_gdbls_on_cifar100,"07/22/2022, 15:55:22",1384.698,16.683,9.485,0.6742,1.9075,
29,exp(TestCBAM)_gdbls_on_svhn,"07/22/2022, 17:02:56",2188.662,24.051,7.345,0.9697,0.5857,
30,exp(TestCBAM)_gdbls_on_cifar10,"07/22/2022, 17:44:11",1270.066,17.163,6.647,0.9176,0.7099,
31,exp(TestCBAM)_gdbls_on_cifar100,"07/22/2022, 18:17:41",966.557,16.665,8.373,0.6737,1.9109,
32,exp(TestCBAM)_gdbls_on_svhn,"07/22/2022, 19:10:17",1706.165,24.03,7.11,0.968,0.5888,
33,exp(TestAvgPooling)_gdbls_on_cifar10,"07/22/2022, 22:13:54",1190.066,14.513,6.943,0.9111,0.7278,
34,exp(TestAvgPooling)_gdbls_on_cifar100,"07/22/2022, 22:57:13",1129.765,14.122,10.209,0.6322,2.0689,
35,exp(TestAvgPooling)_gdbls_on_svhn,"07/23/2022, 00:07:27",2173.286,20.311,7.873,0.9681,0.5912,
36,exp(TestAvgPooling)_gdbls_on_cifar10,"07/23/2022, 00:47:42",1147.656,14.527,7.52,0.911,0.7306,
37,exp(TestAvgPooling)_gdbls_on_cifar100,"07/23/2022, 01:29:55",1142.571,14.106,9.073,0.6472,2.0606,
