exp_name,exp_time,train_time,train_time_epoch,val_time_epoch,acc,loss
0,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 21:38:28",844.615,14.316,0.508,0.9039,0.752
1,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 22:16:59",1458.979,14.304,0.518,0.9135,0.7364
2,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 22:35:23",686.136,14.294,0.519,0.901,0.7669
3,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 23:00:31",943.922,14.302,0.519,0.909,0.7368
4,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 23:24:31",902.51,14.326,0.517,0.9022,0.8179
5,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 23:50:20",972.1,14.296,0.517,0.9065,0.7449
6,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 00:15:47",957.547,14.292,0.517,0.9083,0.7425
7,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 00:41:41",972.195,14.297,0.518,0.9142,0.7303
8,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 01:11:13",1115.018,14.295,0.517,0.894,0.8313
9,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 01:49:24",1445.304,14.31,0.517,0.9044,0.7612
10,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 02:13:25",900.942,14.301,0.517,0.8888,0.8459
11,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 02:33:37",758.221,14.306,0.516,0.8993,0.7638
12,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 03:06:12",1232.91,14.336,0.516,0.9135,0.729
13,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 03:38:51",1232.103,14.327,0.516,0.9116,0.7367
14,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 04:09:09",1144.492,14.306,0.513,0.9121,0.7419
15,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 04:27:13",672.312,14.305,0.514,0.8926,0.8476
16,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 04:54:09",1015.841,14.308,0.514,0.9138,0.7303
17,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 05:16:13",829.073,14.294,0.515,0.894,0.8348
18,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 05:42:25",987.033,14.305,0.517,0.9108,0.7385
19,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 06:06:43",915.683,14.308,0.517,0.9091,0.7403
20,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 06:41:56",1330.459,14.306,0.515,0.9088,0.7407
21,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 07:13:44",1201.215,14.3,0.515,0.9112,0.7341
22,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 07:41:01",1029.709,14.302,0.513,0.9056,0.8122
23,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 08:04:55",900.57,14.295,0.514,0.908,0.7485
24,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 08:30:45",974.318,14.328,0.514,0.912,0.7323
25,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 08:53:28",851.007,14.424,0.522,0.9057,0.7469
26,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 09:22:39",1100.61,14.294,0.518,0.9049,0.8178
27,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 09:48:50",986.37,14.295,0.517,0.9143,0.7312
28,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 10:15:02",987.203,14.307,0.519,0.9133,0.7329
29,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 10:42:43",1045.16,14.317,0.518,0.91,0.7414
30,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 11:13:41",1172.622,14.3,0.517,0.9119,0.7345
31,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 11:45:31",1201.289,14.301,0.516,0.9225,0.707
32,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 12:11:21",973.37,14.314,0.519,0.9055,0.7434
33,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 12:34:33",872.161,14.298,0.515,0.9115,0.7366
34,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 12:56:13",814.821,14.295,0.515,0.9031,0.7662
35,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 13:22:23",987.251,14.308,0.515,0.9146,0.7294
36,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 13:51:30",1101.043,14.299,0.514,0.9133,0.7248
37,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 14:19:57",1072.836,14.304,0.519,0.9131,0.7218
38,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 14:54:42",1316.436,14.309,0.518,0.9198,0.7154
39,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 15:37:00",1607.422,14.352,0.518,0.921,0.7097
40,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 16:09:30",1231.322,14.318,0.517,0.9206,0.7267
41,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 16:35:21",972.432,14.3,0.518,0.9141,0.7578
42,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 17:00:26",943.68,14.298,0.517,0.9068,0.7523
43,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 17:37:00",1385.171,14.28,0.514,0.9016,0.7908
44,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 17:59:48",858.576,14.31,0.515,0.8914,0.8453
45,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 18:27:08",1031.435,14.325,0.516,0.9137,0.7279
46,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 18:54:33",1031.009,14.32,0.516,0.8998,0.8269
47,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 19:14:25",744.188,14.311,0.514,0.9093,0.7451
48,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 19:47:20",1244.16,14.301,0.514,0.9064,0.8103
49,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 20:13:42",995.046,14.421,0.518,0.9003,0.8114
50,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 20:38:05",917.567,14.337,0.513,0.912,0.7382
51,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 21:06:53",1088.478,14.322,0.518,0.9171,0.7218
52,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 21:45:01",1445.69,14.314,0.517,0.9216,0.7181
53,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 22:20:15",1332.725,14.33,0.516,0.924,0.7107
54,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 22:45:43",959.359,14.319,0.518,0.9158,0.7211
55,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 23:11:29",973.036,14.309,0.517,0.9113,0.7398
56,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 23:31:51",759.185,14.324,0.519,0.9127,0.735
57,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 23:55:09",873.403,14.318,0.518,0.9081,0.7461
58,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 00:22:29",1030.531,14.313,0.517,0.9061,0.7456
59,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 00:53:12",1160.195,14.323,0.517,0.9178,0.7188
60,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 01:22:43",1116.367,14.312,0.516,0.9167,0.7295
